report_date,contract_code,noncomm_long,noncomm_short,comm_long,comm_short,open_interest,net_noncomm,fetched_at
2021-07-06,097741,31625,100761,155707,63576,205341,-69136,2026-07-04T22:16:38.729808+00:00
2021-07-13,097741,40440,96690,145716,70980,203727,-56250,2026-07-04T22:16:38.729808+00:00
2021-07-20,097741,35474,91205,138577,67311,192301,-55731,2026-07-04T22:16:38.729808+00:00
2021-07-27,097741,32975,92909,143819,68805,196102,-59934,2026-07-04T22:16:38.729808+00:00
2021-08-03,097741,30409,85599,136596,68989,189242,-55190,2026-07-04T22:16:38.729808+00:00
2021-08-10,097741,36684,97341,151720,68459,206131,-60657,2026-07-04T22:16:38.729808+00:00
2021-08-17,097741,27532,90740,147403,69312,196495,-63208,2026-07-04T22:16:38.729808+00:00
2021-08-24,097741,26763,93434,147612,65542,194477,-66671,2026-07-04T22:16:38.729808+00:00
2021-08-31,097741,29030,92160,144849,65434,193999,-63130,2026-07-04T22:16:38.729808+00:00
2021-09-07,097741,29704,92029,151585,73003,204435,-62325,2026-07-04T22:16:38.729808+00:00
2021-09-14,097741,21728,82023,146716,78681,192088,-60295,2026-07-04T22:16:38.729808+00:00
2021-09-21,097741,22844,78915,146680,80086,191213,-56071,2026-07-04T22:16:38.729808+00:00
2021-09-28,097741,35328,100088,165246,81967,219638,-64760,2026-07-04T22:16:38.729808+00:00
2021-10-05,097741,31569,95263,175160,90697,226379,-63694,2026-07-04T22:16:38.729808+00:00
2021-10-12,097741,35810,112444,185560,90468,243617,-76634,2026-07-04T22:16:38.729808+00:00
2021-10-19,097741,35713,138447,207735,85095,266750,-102734,2026-07-04T22:16:38.729808+00:00
2021-10-26,097741,31487,138523,212303,83757,265254,-107036,2026-07-04T22:16:38.729808+00:00
2021-11-02,097741,20337,127961,207612,81607,251058,-107624,2026-07-04T22:16:38.729808+00:00
2021-11-09,097741,16440,121791,203044,79845,243087,-105351,2026-07-04T22:16:38.729808+00:00
2021-11-16,097741,24635,117761,203468,87710,252897,-93126,2026-07-04T22:16:38.729808+00:00
2021-11-23,097741,20285,117538,205923,89698,251801,-97253,2026-07-04T22:16:38.729808+00:00
2021-11-30,097741,14585,93451,177285,85252,216692,-78866,2026-07-04T22:16:38.729808+00:00
2021-12-07,097741,13148,76229,163847,83350,205970,-63081,2026-07-04T22:16:38.729808+00:00
2021-12-14,097741,20231,73754,136938,65878,176584,-53523,2026-07-04T22:16:38.729808+00:00
2021-12-21,097741,22191,74477,142161,71002,183743,-52286,2026-07-04T22:16:38.729808+00:00
2021-12-28,097741,32475,85577,150647,78283,203814,-53102,2026-07-04T22:16:38.729808+00:00
2022-01-04,097741,40816,103078,170537,85793,234068,-62262,2026-07-04T22:16:38.729808+00:00
2022-01-11,097741,22364,109889,189708,81316,234005,-87525,2026-07-04T22:16:38.729808+00:00
2022-01-18,097741,8002,88881,173701,73961,201820,-80879,2026-07-04T22:16:38.729808+00:00
2022-01-25,097741,15866,84139,160178,77315,197830,-68273,2026-07-04T22:16:38.729808+00:00
2022-02-01,097741,14510,75150,160358,81005,194435,-60640,2026-07-04T22:16:38.729808+00:00
2022-02-08,097741,15692,74840,159601,83644,196478,-59148,2026-07-04T22:16:38.729808+00:00
2022-02-15,097741,10425,76587,166645,80389,199425,-66162,2026-07-04T22:16:38.729808+00:00
2022-02-22,097741,10976,74163,162044,79564,194169,-63187,2026-07-04T22:16:38.729808+00:00
2022-03-01,097741,14665,83397,167605,88070,208629,-68732,2026-07-04T22:16:38.729808+00:00
2022-03-08,097741,15548,71404,170330,93673,208683,-55856,2026-07-04T22:16:38.729808+00:00
2022-03-15,097741,34016,96356,163089,75492,215484,-62340,2026-07-04T22:16:38.729808+00:00
2022-03-22,097741,36676,115158,189100,84310,248221,-78482,2026-07-04T22:16:38.729808+00:00
2022-03-29,097741,15274,117405,201190,76340,239698,-102131,2026-07-04T22:16:38.729808+00:00
2022-04-05,097741,14583,118412,205209,79985,242217,-103829,2026-07-04T22:16:38.729808+00:00
2022-04-12,097741,9925,121752,212850,80948,245403,-111827,2026-07-04T22:16:38.729808+00:00
2022-04-19,097741,12723,119910,216101,86259,251291,-107187,2026-07-04T22:16:38.729808+00:00
2022-04-26,097741,14269,109804,201828,86907,237995,-95535,2026-07-04T22:16:38.729808+00:00
2022-05-03,097741,18585,119379,215563,95299,254813,-100794,2026-07-04T22:16:38.729808+00:00
2022-05-10,097741,11196,121650,213084,88157,247278,-110454,2026-07-04T22:16:38.729808+00:00
2022-05-17,097741,12113,114422,204417,89355,241308,-102309,2026-07-04T22:16:38.729808+00:00
2022-05-24,097741,16567,116011,192215,85516,237256,-99444,2026-07-04T22:16:38.729808+00:00
2022-05-31,097741,15201,109640,196584,91535,239080,-94439,2026-07-04T22:16:38.729808+00:00
2022-06-07,097741,18466,110112,210889,101780,266054,-91646,2026-07-04T22:16:38.729808+00:00
2022-06-14,097741,32441,102196,175789,89346,232513,-69755,2026-07-04T22:16:38.729808+00:00
2022-06-21,097741,35864,94318,156248,81899,218076,-58454,2026-07-04T22:16:38.729808+00:00
2022-06-28,097741,36462,89032,152071,84176,213767,-52570,2026-07-04T22:16:38.729808+00:00
2022-07-05,097741,38660,93105,149702,85639,217672,-54445,2026-07-04T22:16:38.729808+00:00
2022-07-12,097741,35533,95531,160589,85522,223539,-59998,2026-07-04T22:16:38.729808+00:00
2022-07-19,097741,42880,102105,158427,85345,229449,-59225,2026-07-04T22:16:38.729808+00:00
2022-07-26,097741,43812,105293,157963,84190,229219,-61481,2026-07-04T22:16:38.729808+00:00
2022-08-02,097741,50433,93186,157333,107079,236737,-42753,2026-07-04T22:16:38.729808+00:00
2022-08-09,097741,52333,77365,148628,111634,225834,-25032,2026-07-04T22:16:38.729808+00:00
2022-08-16,097741,51308,80199,152209,110230,228697,-28891,2026-07-04T22:16:38.729808+00:00
2022-08-23,097741,56734,95541,156987,104523,242132,-38807,2026-07-04T22:16:38.729808+00:00
