time_utc,bull_words,bear_words,net,n_articles
2026-08-28 17:00:00+00:00,17,0,17,90
2026-08-28 18:00:00+00:00,39,2,37,309
2026-08-28 19:00:00+00:00,43,1,42,322
2026-08-28 20:00:00+00:00,46,1,45,356
2026-08-28 21:00:00+00:00,27,0,27,312
2026-08-28 22:00:00+00:00,17,1,16,278
2026-08-28 23:00:00+00:00,21,0,21,205
2026-08-29 00:00:00+00:00,7,1,6,160
2026-08-29 01:00:00+00:00,4,1,3,112
2026-08-29 02:00:00+00:00,1,0,1,140
2026-08-29 03:00:00+00:00,3,0,3,146
2026-08-29 04:00:00+00:00,1,0,1,86
2026-08-29 05:00:00+00:00,0,0,0,138
2026-08-29 06:00:00+00:00,2,0,2,67
2026-08-29 07:00:00+00:00,2,0,2,69
2026-08-29 08:00:00+00:00,2,0,2,58
2026-08-29 09:00:00+00:00,1,0,1,108
2026-08-29 10:00:00+00:00,2,0,2,119
2026-08-29 11:00:00+00:00,0,0,0,117
2026-08-29 12:00:00+00:00,0,1,-1,96
2026-08-29 13:00:00+00:00,1,0,1,127
2026-08-29 14:00:00+00:00,1,0,1,100
2026-08-29 15:00:00+00:00,0,0,0,111
2026-08-29 16:00:00+00:00,2,1,1,137
2026-08-29 17:00:00+00:00,0,0,0,109
2026-08-29 18:00:00+00:00,1,0,1,110
2026-08-29 19:00:00+00:00,0,0,0,66
2026-08-29 20:00:00+00:00,0,0,0,50
2026-08-29 21:00:00+00:00,0,0,0,44
2026-08-29 22:00:00+00:00,1,0,1,48
2026-08-29 23:00:00+00:00,1,0,1,48
2026-08-30 00:00:00+00:00,0,0,0,56
2026-08-30 01:00:00+00:00,1,0,1,42
2026-08-30 02:00:00+00:00,0,0,0,49
2026-08-30 03:00:00+00:00,0,0,0,69
2026-08-30 04:00:00+00:00,0,0,0,46
2026-08-30 05:00:00+00:00,1,0,1,54
2026-08-30 06:00:00+00:00,0,0,0,38
2026-08-30 07:00:00+00:00,0,0,0,45
2026-08-30 08:00:00+00:00,1,0,1,53
2026-08-30 09:00:00+00:00,1,0,1,129
2026-08-30 10:00:00+00:00,1,0,1,164
2026-08-30 11:00:00+00:00,4,0,4,204
2026-08-30 12:00:00+00:00,3,1,2,158
2026-08-30 13:00:00+00:00,1,0,1,122
2026-08-30 14:00:00+00:00,1,0,1,111
2026-08-30 15:00:00+00:00,2,0,2,104
2026-08-30 16:00:00+00:00,28,0,28,158
2026-08-30 17:00:00+00:00,24,0,24,143
2026-08-30 18:00:00+00:00,33,0,33,138
2026-08-30 19:00:00+00:00,23,1,22,120
2026-08-30 20:00:00+00:00,22,1,21,94
2026-08-30 21:00:00+00:00,8,0,8,62
2026-08-30 22:00:00+00:00,16,3,13,83
2026-08-30 23:00:00+00:00,10,1,9,118
2026-08-31 00:00:00+00:00,14,2,12,146
2026-08-31 01:00:00+00:00,10,2,8,145
2026-08-31 02:00:00+00:00,31,1,30,155
2026-08-31 03:00:00+00:00,21,3,18,140
2026-08-31 04:00:00+00:00,7,0,7,90
2026-08-31 05:00:00+00:00,5,0,5,89
2026-08-31 06:00:00+00:00,38,2,36,173
2026-08-31 07:00:00+00:00,25,3,22,163
2026-08-31 08:00:00+00:00,23,2,21,148
2026-08-31 09:00:00+00:00,27,1,26,200
2026-08-31 10:00:00+00:00,23,3,20,236
2026-08-31 11:00:00+00:00,9,2,7,170
2026-08-31 12:00:00+00:00,14,0,14,228
2026-08-31 13:00:00+00:00,9,0,9,249
2026-08-31 14:00:00+00:00,6,0,6,372
2026-08-31 15:00:00+00:00,10,1,9,327
2026-08-31 16:00:00+00:00,8,1,7,320
2026-08-31 17:00:00+00:00,8,2,6,290
2026-08-31 18:00:00+00:00,11,0,11,275
2026-08-31 19:00:00+00:00,7,2,5,254
2026-08-31 20:00:00+00:00,8,1,7,265
2026-08-31 21:00:00+00:00,6,0,6,258
2026-08-31 22:00:00+00:00,11,1,10,223
2026-08-31 23:00:00+00:00,4,9,-5,226
